,year,band,species,beak depth (mm),beak length (mm)
0,1973,20123,fortis,8.05,9.25
1,1973,20126,fortis,10.45,11.35
2,1973,20128,fortis,9.55,10.15
3,1973,20129,fortis,8.75,9.95
4,1973,20133,fortis,10.15,11.55
5,1973,20136,fortis,9.85,11.15
6,1973,20138,fortis,8.85,10.05
7,1973,20142,fortis,10.15,11.25
8,1973,20143,fortis,8.15,9.15
9,1973,20146,fortis,8.55,9.25
10,1973,20149,fortis,10.65,11.75
11,1973,20150,fortis,8.05,9.05
12,1973,20152,fortis,9.75,11.15
13,1973,20155,fortis,10.15,11.25
14,1973,20156,fortis,9.85,10.45
15,1973,20157,fortis,9.75,10.65
16,1973,20163,fortis,8.35,10.05
17,1973,20164,fortis,8.55,10.45
18,1973,20169,fortis,10.25,11.45
19,1973,20172,fortis,9.35,11.15
20,1973,20174,fortis,10.15,10.95
21,1973,20176,fortis,8.55,9.55
22,1973,20177,fortis,8.85,10.65
23,1973,20178,fortis,9.85,10.05
24,1973,20181,fortis,10.75,11.25
25,1973,20183,fortis,9.85,10.85
26,1973,20203,fortis,8.45,10.05
27,1973,20206,fortis,10.55,11.95
28,1973,20211,fortis,8.35,9.85
29,1973,20215,fortis,8.25,9.35
30,1973,20217,fortis,10.95,12.05
31,1973,20218,fortis,9.15,10.35
32,1973,20219,fortis,8.85,10.65
33,1973,20221,fortis,10.05,10.95
34,1973,20229,fortis,9.55,10.25
35,1973,20230,fortis,12.15,12.65
36,1973,20233,fortis,9.55,10.65
37,1973,20235,fortis,9.75,10.75
38,1973,20239,fortis,9.25,10.15
39,1973,20243,fortis,9.05,10.25
40,1973,20244,fortis,8.45,10.35
41,1973,20246,fortis,9.55,10.55
42,1973,20247,fortis,9.95,10.95
43,1973,20249,fortis,10.65,11.65
44,1973,20250,fortis,7.95,9.85
45,1973,20253,fortis,10.65,11.15
46,1973,20256,fortis,9.15,10.05
47,1973,20258,fortis,10.05,11.15
48,1973,20263,fortis,9.75,10.95
49,1973,20268,fortis,10.05,11.05
50,1973,20269,fortis,9.65,10.65
51,1973,20271,fortis,9.45,10.85
52,1973,20272,fortis,10.75,11.05
53,1973,20275,fortis,9.85,11.05
54,1973,20276,fortis,11.15,11.55
55,1973,20277,fortis,10.85,11.25
56,1973,20278,fortis,8.55,10.25
57,1973,20282,fortis,10.25,11.05
58,1973,20292,fortis,8.35,9.95
59,1973,20296,fortis,9.15,10.65
60,1973,20299,fortis,9.35,9.95
61,1973,20301,fortis,10.15,11.05
62,1973,20302,fortis,9.75,10.75
63,1973,20306,fortis,10.75,11.75
64,1973,20307,fortis,9.35,10.25
65,1973,20308,fortis,8.65,9.45
66,1973,20309,fortis,10.35,11.85
67,1973,20310,fortis,10.55,10.95
68,1973,20313,fortis,9.45,10.35
69,1973,20317,fortis,8.85,10.15
70,1973,20318,fortis,9.45,10.45
71,1973,20320,fortis,9.85,11.35
72,1973,20324,fortis,9.15,9.85
73,1973,20121,scandens,9.35,15.15
74,1973,20125,scandens,9.75,15.05
75,1973,20135,scandens,8.35,14.45
76,1973,20159,scandens,9.55,14.05
77,1973,20160,scandens,8.55,14.25
78,1973,20175,scandens,9.85,14.65
79,1973,20182,scandens,10.65,15.45
80,1973,20187,scandens,9.55,15.15
81,1973,20200,scandens,9.85,14.95
82,1973,20207,scandens,9.75,13.65
83,1973,20220,scandens,7.95,14.65
84,1973,20224,scandens,9.95,15.65
85,1973,20245,scandens,9.55,14.05
86,1973,20254,scandens,9.15,13.85
87,1973,20259,scandens,10.45,14.95
88,1973,20274,scandens,9.15,13.15
89,1975,2,fortis,8.0,9.4
90,1975,9,fortis,8.3,9.2
91,1975,12,fortis,7.5,9.5
92,1975,15,fortis,8.0,9.5
93,1975,305,fortis,9.9,11.5
94,1975,307,fortis,8.6,11.1
95,1975,308,fortis,8.4,9.9
96,1975,309,fortis,9.8,11.5
97,1975,311,fortis,9.2,10.8
98,1975,312,fortis,9.0,11.3
99,1975,313,fortis,9.5,11.5
100,1975,314,fortis,8.9,11.5
101,1975,315,fortis,8.8,9.7
102,1975,316,fortis,9.7,10.9
103,1975,316,fortis,9.85,10.9
104,1975,320,fortis,8.9,10.1
105,1975,321,fortis,8.5,10.6
106,1975,323,fortis,8.2,9.6
107,1975,324,fortis,9.3,10.3
108,1975,326,fortis,9.1,10.5
109,1975,328,fortis,8.8,10.5
110,1975,329,fortis,9.4,10.9
111,1975,330,fortis,9.6,11.2
112,1975,340,fortis,8.5,9.4
113,1975,341,fortis,8.1,10.1
114,1975,342,fortis,8.0,9.6
115,1975,343,fortis,9.7,10.5
116,1975,344,fortis,8.2,9.9
117,1975,345,fortis,8.4,9.9
118,1975,346,fortis,7.9,9.6
119,1975,347,fortis,9.3,10.7
120,1975,348,fortis,10.5,11.8
121,1975,349,fortis,9.7,10.2
122,1975,350,fortis,9.6,10.9
123,1975,352,fortis,7.7,9.3
124,1975,354,fortis,9.8,11.6
125,1975,355,fortis,9.8,11.2
126,1975,356,fortis,8.5,10.1
127,1975,360,fortis,9.2,10.7
128,1975,366,fortis,10.1,11.0
129,1975,368,fortis,9.0,10.8
130,1975,369,fortis,9.0,10.2
131,1975,401,fortis,9.4,10.8
132,1975,402,fortis,8.8,10.4
133,1975,403,fortis,9.9,11.2
134,1975,405,fortis,9.9,11.4
135,1975,410,fortis,8.9,10.9
136,1975,411,fortis,9.4,10.4
137,1975,413,fortis,8.2,9.7
138,1975,414,fortis,8.2,10.2
139,1975,415,fortis,8.1,9.2
140,1975,416,fortis,8.4,10.1
141,1975,417,fortis,10.1,11.0
142,1975,418,fortis,8.6,10.3
143,1975,419,fortis,8.5,10.2
144,1975,420,fortis,9.7,11.0
145,1975,422,fortis,10.3,11.0
146,1975,423,fortis,8.6,10.1
147,1975,424,fortis,9.3,10.7
148,1975,425,fortis,8.9,10.7
149,1975,426,fortis,9.7,11.0
150,1975,427,fortis,10.2,12.0
151,1975,428,fortis,10.2,11.6
152,1975,450,fortis,8.5,9.9
153,1975,451,fortis,8.8,10.8
154,1975,452,fortis,8.9,10.5
155,1975,453,fortis,8.7,10.0
156,1975,454,fortis,9.3,9.6
157,1975,455,fortis,9.7,11.0
158,1975,456,fortis,9.6,10.2
159,1975,457,fortis,7.85,9.7
160,1975,458,fortis,9.6,11.1
161,1975,459,fortis,9.3,10.4
162,1975,461,fortis,9.8,11.1
163,1975,462,fortis,8.8,10.2
164,1975,463,fortis,9.1,10.3
165,1975,465,fortis,9.0,9.9
166,1975,466,fortis,10.4,11.0
167,1975,468,fortis,9.0,10.8
168,1975,473,fortis,9.5,10.5
169,1975,474,fortis,8.7,10.5
170,1975,475,fortis,9.6,11.2
171,1975,476,fortis,9.4,11.2
172,1975,477,fortis,9.5,11.7
173,1975,479,fortis,8.6,10.5
174,1975,501,fortis,9.9,10.5
175,1975,502,fortis,9.4,11.2
176,1975,503,fortis,9.1,10.0
177,1975,504,fortis,8.6,10.4
178,1975,505,fortis,9.3,10.8
179,1975,506,fortis,9.2,11.1
180,1975,507,fortis,8.8,10.3
181,1975,509,fortis,9.2,11.1
182,1975,510,fortis,8.3,9.8
183,1975,511,fortis,8.8,10.5
184,1975,512,fortis,9.4,11.0
185,1975,513,fortis,10.4,11.2
186,1975,514,fortis,8.5,9.8
187,1975,515,fortis,7.9,9.8
188,1975,516,fortis,7.9,9.8
189,1975,517,fortis,10.1,10.3
190,1975,518,fortis,9.8,11.3
191,1975,519,fortis,8.3,10.0
192,1975,520,fortis,9.4,11.1
193,1975,521,fortis,9.0,10.0
194,1975,522,fortis,8.4,10.3
195,1975,524,fortis,8.7,10.2
196,1975,526,fortis,9.2,10.4
197,1975,527,fortis,9.5,11.0
198,1975,528,fortis,10.1,11.5
199,1975,529,fortis,9.8,11.8
200,1975,560,fortis,8.5,10.2
201,1975,561,fortis,10.2,11.7
202,1975,563,fortis,8.6,10.1
203,1975,564,fortis,9.3,10.2
204,1975,565,fortis,8.7,9.8
205,1975,566,fortis,8.9,10.6
206,1975,567,fortis,8.4,10.0
207,1975,572,fortis,10.3,12.1
208,1975,574,fortis,9.9,11.1
209,1975,576,fortis,8.9,10.5
210,1975,578,fortis,9.1,10.0
211,1975,579,fortis,8.6,10.2
212,1975,601,fortis,7.8,9.7
213,1975,602,fortis,8.6,10.0
214,1975,603,fortis,9.5,10.7
215,1975,604,fortis,9.5,11.0
216,1975,605,fortis,10.2,10.9
217,1975,606,fortis,9.1,10.5
218,1975,607,fortis,9.7,10.9
219,1975,608,fortis,9.4,10.7
220,1975,609,fortis,10.5,11.9
221,1975,610,fortis,9.0,10.2
222,1975,611,fortis,9.8,10.5
223,1975,615,fortis,10.0,11.2
224,1975,616,fortis,9.6,10.7
225,1975,617,fortis,9.6,10.3
226,1975,618,fortis,9.9,11.6
227,1975,619,fortis,9.3,10.5
228,1975,620,fortis,9.6,10.9
229,1975,621,fortis,7.6,9.8
230,1975,622,fortis,9.2,10.9
231,1975,623,fortis,8.8,10.3
232,1975,624,fortis,10.1,11.7
233,1975,625,fortis,8.9,11.0
234,1975,626,fortis,9.5,9.8
235,1975,627,fortis,8.2,10.4
236,1975,628,fortis,9.7,10.8
237,1975,629,fortis,9.8,11.0
238,1975,670,fortis,9.3,10.6
239,1975,671,fortis,9.8,11.3
240,1975,672,fortis,8.8,10.1
241,1975,673,fortis,10.1,11.4
242,1975,674,fortis,10.5,11.8
243,1975,675,fortis,8.6,9.9
244,1975,676,fortis,9.7,11.0
245,1975,677,fortis,10.0,10.8
246,1975,678,fortis,9.7,11.3
247,1975,679,fortis,10.5,11.1
248,1975,680,fortis,10.4,11.0
249,1975,681,fortis,9.2,10.4
250,1975,682,fortis,8.1,9.1
251,1975,683,fortis,9.4,10.8
252,1975,684,fortis,8.9,10.6
253,1975,685,fortis,8.2,8.7
254,1975,686,fortis,9.3,10.7
255,1975,687,fortis,8.6,10.3
256,1975,688,fortis,9.0,10.5
257,1975,689,fortis,7.6,9.1
258,1975,701,fortis,8.7,9.5
259,1975,702,fortis,9.8,10.8
260,1975,703,fortis,9.4,10.6
261,1975,704,fortis,9.9,9.9
262,1975,705,fortis,10.1,11.5
263,1975,706,fortis,9.8,11.2
264,1975,707,fortis,7.9,9.7
265,1975,708,fortis,10.8,12.2
266,1975,709,fortis,7.9,9.2
267,1975,710,fortis,10.0,10.5
